Nodes Availability (Custom Table) for All Nodes from Last Month,,,,,
,,,,,
Timestamp,Node,IP Address,Average Availability,% Packet Loss,Average Response Time
May 2024,793984639 KINGDOM BANK KIRINYAGA RD LTE,172.30.53.238,100.00 %,0.40 %,27.617149
May 2024,95014448 KINGDOM BANK THIKA FIBRE,172.30.53.234,100.00 %,0.44 %,27.780313
May 2024,KINGDOM BANK COLLOCATION DR VIA ITNETWORKS,10.199.0.149,100.00 %,0.05 %,1.238713
May 2024,95052473 KINGDOM BANK HQ INTERNET SECONDARY via AK,41.90.235.146,100.00 %,0.06 %,8.367813
May 2024,95046272 KINGDOM BANK-CBK (MAIN LINK),172.30.106.6,100.00 %,0.05 %,3.198655
May 2024,95052681 KINGDOM BANK HQ MPLS SECONDARY,172.30.140.138,100.00 %,0.07 %,13.255017
May 2024,KINGDOM BANK KIKUYU BS RADWIN,10.241.22.73,100.00 %,0.06 %,4.174686
May 2024,KINGDOM BANK WANGIGE BS RADWIN,172.17.120.145,100.00 %,0.02 %,4.438411
May 2024,KINGDOM BANK WANGIGE CLIENT RADWIN,172.17.120.146,100.00 %,0.21 %,11.381156
May 2024,95069568 Kingdom Bank-co-op Trust,172.30.155.73,100.00 %,0.04 %,5.067765
May 2024,KINGDOM BANK WANGIGE MICROWAVE,172.30.101.158,100.00 %,0.28 %,27.967794
May 2024,95052859 KINGDOM BANK KAWANGWARE (Gpon),172.30.146.6,99.99 %,0.38 %,20.828148
May 2024,95017954 KINGDOM BANK KITENGELA FIBRE,172.30.37.154,99.99 %,0.18 %,35.39076
May 2024,95009741- KINGDOM BANK KISUMU FIBRE (Gpon),172.30.88.226,99.98 %,0.14 %,13.302576
May 2024,795599254 KINGDOM BANK KAWANGWARE LTE,172.30.77.18,99.97 %,0.44 %,30.410429
May 2024,950544403 KINGDOM BANK KIRINYAGA RD FIBRE,172.30.137.210,99.97 %,0.50 %,21.940595
May 2024,95009589 KINGDOM BANK Eldoret,172.30.170.50,99.97 %,0.09 %,15.56113
May 2024,KINGDOM BANK KIKUYU CLIENT RADWIN,10.241.22.72,99.96 %,0.15 %,37.893447
