Nodes Availability (Custom Table) for All Nodes from Last Month,,,,,
,,,,,
Timestamp,Node,IP Address,Average Availability,% Packet Loss,Average Response Time
Feb-24,795011760 KINGDOM BANK KAYOLE LTE,172.30.36.246,100.00%,0.00%,11.666666
Feb-24,795196342 KINGDOM BANK KIAMBU LTE,172.30.72.178,100.00%,0.00%,12
Feb-24,795599254 KINGDOM BANK KAWANGWARE LTE,172.30.77.18,100.00%,0.00%,12
Feb-24,95009741- KINGDOM BANK KISUMU FIBRE (Gpon),172.30.88.226,100.00%,0.00%,8
Feb-24,95014448 KINGDOM BANK THIKA FIBRE,172.30.53.234,100.00%,0.00%,1
Feb-24,95014505 KINGDOM BANK HQ MPLS PRIMARY,172.30.72.162,100.00%,0.00%,8
Feb-24,95023514 KINGDOM BANK KOINANGE FIBRE,172.30.102.134,100.00%,0.00%,3
Feb-24,95023546 KINGDOM BANK KISII FIBRE,172.30.51.218,100.00%,0.00%,9
Feb-24,95044677 KINGDOM BANK COLLOCATION DR VIA LIQUID,172.30.87.102,100.00%,0.00%,2
Feb-24,95046272 KINGDOM BANK-CBK (MAIN LINK),172.30.106.6,100.00%,0.00%,3
Feb-24,95049783 KINGDOM BANK KENNEX PRIMARY,172.30.76.102,100.00%,0.00%,2
Feb-24,95052473 KINGDOM BANK HQ INTERNET SECONDARY via AK,41.90.235.146,100.00%,0.00%,8
Feb-24,95052681 KINGDOM BANK HQ MPLS SECONDARY,172.30.140.138,100.00%,0.00%,8
Feb-24,95052682 HQ KINGDOM BANK PRIMARY INTERNET SFC,41.90.238.62,100.00%,0.00%,8
Feb-24,95052685 KINGDOM BANK KIKUYU MICROWAVE,172.30.130.114,100.00%,0.00%,9.333333
Feb-24,95052859 JAMII BORA BANK-KAWANGWARE-PRIMARY FIBER Gpon,172.30.146.6,100.00%,0.00%,3
Feb-24,95054415 KINGDOM BANK NAKURU FIBRE,172.30.140.178,100.00%,0.00%,5
Feb-24,950544403 KINGDOM BANK KIRINYAGA RD FIBRE,172.30.137.210,100.00%,0.00%,3
Feb-24,95054514 KINGDOM BANK KIAMBU FIBRE,172.30.138.34,100.00%,0.00%,3
Feb-24,95055646 KINGDOM BANK KIAMBU DR 3rd PARTY BACKHAUL,172.30.129.122,100.00%,0.00%,2.666666
Feb-24,95055647 KINGDOM BANK-CBK (KIAMBU-DR),172.30.138.70,100.00%,0.00%,3
Feb-24,95059420 KINGDOM BANK KAYOLE FIBRE,172.30.139.218,100.00%,0.00%,3
Feb-24,95060588 Kingdom Bank Mombasa Client Radwin,10.241.21.229,100.00%,0.00%,12.333333
Feb-24,95060588 KINGDOM BANK MOMBASA MICROWAVE,172.30.146.50,100.00%,0.00%,13.333333
Feb-24,95069568 Kingdom Bank-co-op Trust,172.30.155.73,100.00%,0.00%,2
Feb-24,KINGDOM BANK COLLOCATION DR VIA ITNETWORKS,10.199.0.149,100.00%,0.00%,1
Feb-24,KINGDOM BANK KIKUYU BS RADWIN,10.241.22.73,100.00%,0.00%,4
Feb-24,KINGDOM BANK KIKUYU CLIENT RADWIN,10.241.22.72,100.00%,0.00%,8.333333
Feb-24,KINGDOM BANK NYERI CERAGON,172.30.96.62,100.00%,0.00%,14.666666
