Nodes Availability (Custom Table) for All Nodes from Last Month,,,,,
,,,,,
Timestamp,Node,IP Address,Average Availability,% Packet Loss,Average Response Time
Jun-24,95009589 KINGDOM BANK Eldoret,172.30.170.50,100.00%,0.03%,16.038718
Jun-24,95052681 KINGDOM BANK HQ MPLS SECONDARY,172.30.140.138,100.00%,0.05%,11.59869
Jun-24,95044677 KINGDOM BANK COLLOCATION DR VIA LIQUID,172.30.87.102,100.00%,0.03%,3.108469
Jun-24,110569487 KINGDOM BANK KISII LTE,172.30.132.86,100.00%,0.23%,33.111579
Jun-24,95023514 KINGDOM BANK KOINANGE FIBRE,172.30.102.134,100.00%,0.04%,3.531872
Jun-24,95014505 KINGDOM BANK HQ MPLS PRIMARY,172.30.72.162,100.00%,0.04%,11.727766
Jun-24,95046272 KINGDOM BANK-CBK (MAIN LINK),172.30.106.6,100.00%,0.03%,4.231144
Jun-24,10.241.21.228,10.241.21.228,100.00%,0.03%,8.555287
Jun-24,KINGDOM BANK COLLOCATION DR VIA ITNETWORKS,10.199.0.149,100.00%,0.03%,1.400306
Jun-24,95049783 KINGDOM BANK KENNEX PRIMARY,172.30.76.102,100.00%,0.05%,2.125893
Jun-24,95069568 Kingdom Bank-co-op Trust,172.30.155.73,100.00%,0.05%,2.556086
Jun-24,794596284 KINGDOM BANK MTWAPA LTE,172.30.44.230,99.99%,0.04%,8.454722
Jun-24,95023546 KINGDOM BANK KISII FIBRE,172.30.51.218,99.99%,0.23%,24.482934
Jun-24,95052859 KINGDOM BANK KAWANGWARE (Gpon),172.30.146.6,99.98%,0.54%,29.98969
Jun-24,950544403 KINGDOM BANK KIRINYAGA RD FIBRE,172.30.137.210,99.98%,0.63%,35.8607
Jun-24,95009741- KINGDOM BANK KISUMU FIBRE (Gpon),172.30.88.226,99.98%,0.13%,17.09419
Jun-24,95014448 KINGDOM BANK THIKA FIBRE,172.30.53.234,99.97%,0.68%,31.638184
Jun-24,95060588 KINGDOM BANK MOMBASA MICROWAVE,172.30.146.50,99.94%,0.23%,52.176274
Jun-24,795599254 KINGDOM BANK KAWANGWARE LTE,172.30.77.18,99.92%,0.72%,37.563386
Jun-24,110583749 KINGDOM BANK KOINANGE LTE,172.30.130.94,99.89%,0.18%,12.141735
Jun-24,795196342 KINGDOM BANK KIAMBU LTE,172.30.72.178,99.88%,0.29%,11.523666
Jun-24,91952640  KINGDOM BANK KITALE Microwave.,172.30.184.118,99.88%,0.20%,15.698962
Jun-24,95052473 KINGDOM BANK HQ INTERNET SECONDARY via AK,41.90.235.146,99.87%,0.23%,8.159901
Jun-24,95052682 KINGDOM BANK HQ PRIMARY INTERNET SFC,41.90.238.62,99.87%,0.23%,8.097828
Jun-24,95054514 KINGDOM BANK KIAMBU FIBRE,172.30.138.34,99.85%,0.23%,3.615727
Jun-24,95055646 KINGDOM BANK KIAMBU DR 3rd PARTY BACKHAUL,172.30.129.122,99.84%,0.27%,3.327439
Jun-24,95055647 KINGDOM BANK-CBK (KIAMBU-DR),172.30.138.70,99.83%,0.27%,3.462177
Jun-24,95052685 KINGDOM BANK KIKUYU MICROWAVE,172.30.130.114,99.76%,0.41%,37.031499
Jun-24,701630742 KINGDOM BANK THIKA LTE,172.30.136.146,99.75%,0.88%,41.376229
Jun-24,95017954 KINGDOM BANK KITENGELA FIBRE,172.30.37.154,99.74%,0.39%,36.204973
Jun-24,704771131 KINGDOM BANK KITENGELA LTE,172.30.143.50,99.73%,0.44%,38.168847
Jun-24,759738605 KINGDOM BANK KIKUYU LTE,172.30.77.214,99.68%,0.52%,20.940559
Jun-24,793984639 KINGDOM BANK KIRINYAGA RD LTE,172.30.53.238,99.66%,1.06%,42.156751
Jun-24,110583769 KINGDOM BANK MOMBASA LTE,172.30.44.226,99.46%,1.17%,22.136808
Jun-24,110583768 KINGDOM BANK RONGAI LTE,172.30.130.102,99.34%,0.71%,12.908667
Jun-24,KINGDOM BANK RONGAI FIBRE,172.30.76.246,98.91%,1.12%,3.481245
Jun-24,794518509 KINGDOM BANK NAKURU LTE,172.30.17.54,98.73%,4.15%,156.270062
Jun-24,95054415 KINGDOM BANK NAKURU FIBRE,172.30.140.178,98.73%,4.07%,97.568432
Jun-24,115451108 KINGDOM BANK GIKOMBA (Sdwan),172.30.184.214,98.04%,2.18%,36.758029
Jun-24,KINGDOM BANK WANGIGE MICROWAVE,172.30.101.158,95.42%,4.87%,28.979554
Jun-24,111581950 KINGDOM BANK WANGIGE LTE,172.30.138.166,95.07%,5.31%,36.56472
Jun-24,KINGDOM BANK UTAWALA SFC FIBRE,172.30.78.154,93.02%,7.08%,3.310222
Jun-24,KINGDOM BANK UTAWALA AK,172.30.146.74,92.19%,13.41%,162.96705
Jun-24,91952641 KINGDOM BANK MERU FiBER (Gpon),172.30.186.86,91.50%,8.67%,11.817444
Jun-24,795011760 KINGDOM BANK KAYOLE LTE,172.30.36.246,89.81%,10.66%,30.169277
Jun-24,95059420 KINGDOM BANK KAYOLE FIBRE,172.30.139.218,89.49%,11.10%,22.540782
Jun-24,KINGDOM BANK NYERI CERAGON,172.30.96.62,84.99%,15.14%,51.494528
Jun-24,95011030 KINGDOM BANK NYERI FiBER (Gpon),172.30.185.126,84.95%,15.18%,16.809423
